Localidad	Temperatura	ppm	Peso_bollante	Volumen cm	Largo	Ancho 	Alto	Peso_total	Margen_crecimiento	Peso_seco_concha	Pseco_mb	Peso_libre_ceniza	r3	pendiente	extensión_max	carga_max	ph Promedio (25°C)	Salinidad	Temperatura 	Alcalinidad_total (µmol kg-1)	pCO2 (µatm)	Ωcalcita	Ωaragonita
Chiloé	10°C	500ppm	0.0061	0.803372768	0.220	0.280	0.080	0.006	0.292	0.067	0.0063	0.0006	0.94746	694	0.11922	79	7.937	30.87	11.19	2405.764693	483.3781102	3.004827156	1.898018673
Chiloé	10°C	500ppm	-0.0093	1.277701545	0.030	0.370	0.070	0.014	0.278	0.126	0.0132	0.0015	1	293	0	39	7.937	30.87	11.19	4155.348465	838.1598067	5.262520189	3.324105205
Chiloé	10°C	500ppm	-0.0258	2.326853291	0.060	0.150	0.570	0.002	0.372	0.156	0.0193	0.0011	0.98904	237	0.19188	49	7.937	30.87	11.19	3019.735276	607.9644367	3.796599736	2.398146988
Chiloé	10°C	500ppm	0.0025	0.130236147	0.000	0.040	0.020	0.007	0.250	0.092	0.0093	0.0007	0.84394	397	0.09891	38	7.937	30.87	11.19	2969.165676	597.7074997	3.731358216	2.356936757
Chiloé	10°C	500ppm	0.0043	1.724878616	0.060	0.320	0.690	0.004	0.186	0.069	0.0049	0	0.93258	390	0.10656	41	7.937	30.87	11.19	3607.929733	727.2231326	4.555709065	2.877643348
Chiloé	10°C	500ppm	0.0022	2.067275269	0.130	0.210	1.010	-0.003	0.352	0.074	0.0056	0.001	0.84536	288	0.18172	52	7.937	30.87	11.19	2440.439834	490.4181459	3.049521555	1.926250182
Chiloé	10°C	500ppm	0.0033	2.206855051	0.350	0.460	1.120	0.006	0.198	0.044	0.0039	0.0007	0.98869	497	0.11625	57	7.937	30.87	11.19	3423.130557	689.7620974	4.317165812	2.726965946
Chiloé	10°C	500ppm	0.003	2.272969133	0.130	0.300	0.840	0.007	0.464	0.103	0.0106	0.0014	0.95483	258	0.25969	65	7.937	30.87	11.19	2486.665072	499.8023547	3.109108282	1.963888527
Chiloé	10°C	500ppm	0.0034	0.970954066	0.050	0.120	0.280	0.005	0.244	0.078	0.0074	0.0008	0.72175	235	0.13375	38	7.937	30.87	11.19	3979.821549	802.5931038	5.035857696	3.180932362
Chiloé	10°C	500ppm	-0.0032	-4.551482878	0.000	0.450	-1.740	0.000	0.296	0.135	0.0109	0.0014	0.75957	248	0.20641	54	7.937	30.87	11.19	2405.764693	483.3781102	3.004827156	1.898018673
Chiloé	10°C	500ppm	0.0037	0.847088602	0.030	-0.180	0.360	-0.010	0.390	0.202	0.0213	0.002	0.93999	589	0.12563	74	7.937	30.87	11.19	4155.348465	838.1598067	5.262520189	3.324105205
Chiloé	10°C	500ppm	0.0002	2.126242459	0.390	0.630	0.150	0.008	0.398	0.117	0.0113	0.0008	0.90361	407	0.22312	92	7.937	30.87	11.19	3019.735276	607.9644367	3.796599736	2.398146988
Chiloé	10°C	500ppm	0.0035	2.679868712	0.100	0.390	0.800	0.006	0.242	0.090	0.0124	0.0016	0.93065	434	0.12891	62	7.937	30.87	11.19	2969.165676	597.7074997	3.731358216	2.356936757
Chiloé	10°C	500ppm	0.0012	2.172250116	0.250	1.260	0.480	0.002	0.218	0.042	0.0047	0.0005	0.7454	209	0.1086	25	7.937	30.87	11.19	2146.492518	430.7197137	2.670750188	1.686996778
