Localidad;Temperatura;ppm;Peso_bollante;Volumen cm;Largo;Ancho ;Alto;Peso_total;Margen_crecimiento;Peso_seco_concha;Pseco_mb;Peso_libre_ceniza;r3;pendiente;extensi¢n_max;carga_max;ph Promedio (25øC);Salinidad;Temperatura ;Alcalinidad_total (æmol kg-1);pCO2 (æatm);?calcita;?aragonita
Quintay;10øC;1500ppm;0.0009;-0.636815403;-0.040;-0.200;0.250;0.130;0.630;0.550;0.0227;0.004;0.9973;857;0.31141;253;765.275;32.975;10.8;2.287.169.168;673.017.762;1.340.074.243;0.838813711
Quintay;10øC;1500ppm;0.1076;9.332.846.914;2.030;-1.900;1.060;0.227;0.450;0.356;0.0239;0.0046;0.9817;287;0.17938;47;7.651;32.575;10.6;1.983.423.193;591.424.838;113.813.882;0.711748265
Quintay;15øC;500ppm;0.0248;-3.963.740.901;-0.420;-0.010;0.370;0.121;0.644;0.480;0.0277;0.0054;0.9836;369;0.37734;124;812.675;32.825;14.7;2.343.447.901;1.676.793.955;4.224.320.939;2.643.285.825
Quintay;10øC;500ppm;0.0016;-6.339.296.765;-0.150;0.750;-0.060;0.247;0.656;0.784;0;0;1;293;0;7.764.579;8.103.375;32.725;10;2.345.651.721;21.950.814;3.491.862.634;218.445.449
Quintay;10øC;1500ppm;0.0161;-5.808.647.985;-0.170;0.410;0.290;0.033;0.824;0.655;0.0304;0.0029;0.9673;422;0.36047;157;781.375;32.925;10.5;2.310.505.015;45.414.716;1.917.146.955;1.199.893.223
Quintay;15øC;500ppm;0.0014;216.696.424;0.280;-0.160;-0.060;0.111;0.394;0.160;0.0187;0.004;0.9308;305;0.3189;103;8.043.625;32;15;2.279.124.666;2.039.258.544;3.476.075.272;2.170.693.172
Quintay;15øC;1500ppm;-0.0043;-0.513675531;0.100;0.320;-0.170;0.184;0.560;0.492;0.0276;0.0062;0.9864;544;0.19672;94;774.225;32.85;15.5;2.314.494.556;452.264.378;1.928.318.278;120.667.708
Quintay;10øC;1500ppm;0.0205;-5.721.630.923;-0.430;0.340;0.310;0.160;0.542;0.458;0.0321;0.0068;0.978;708;0.15343;93;76.595;32.025;10.9;2.301.644.276;6.672.515.854;1.349.408.814;0.842715158
Quintay;15øC;1500ppm;0.0032;-1.269.280.567;0.060;0.330;-0.090;0.249;0.776;0.608;0.0231;0.0042;0.993;699;0.24359;160;7.746.375;31.725;15.5;2.277.701.648;4.437.929.771;1.875.063.228;1.170.069.126
Quintay;10øC;1500ppm;0.0127;-1.293.876.355;0.030;-0.370;0.550;0.129;0.624;0.436;0;0;1;427;0;113;7.640.625;32.825;10.4;1.886.266.353;5.806.720.641;1.054.288.363;0.659700228
Quintay;15øC;500ppm;0.0121;-7.354.452.903;-0.030;0.860;0.510;0.104;0.500;0.349;0.009;0.0003;0.9657;204;0.27438;47;8.047.666.667;3.226.666.667;15.4;2.322.596.692;2.016.503.314;3.633.672.503;2.270.644.731
Quintay;15øC;500ppm;0.1989;-0.279097016;0.010;0.450;-0.230;0.151;0.406;0.286;0.0098;0.0027;0.932;270;0.18593;53;8.010.333.333;3.273.333.333;15.1;2.319.339.985;2.249.627.236;3.360.957.467;2.102.603.426
Quintay;10øC;500ppm;-0.0024;-5.957.770.939;0.090;0.160;1.150;0.086;0.608;0.344;0.0128;0.0023;0.9803;628;0.15984;92;803.425;32.775;10.8;2.316.854.763;2.522.150.603;3.080.715.667;1.927.473.107
Quintay;10øC;1500ppm;0.0083;-2.292.077.582;-3.160;2.480;2.390;0.183;0.590;0.312;0.0201;0.0029;0.93;590;0.24906;140;780.025;32.3;10.9;1.917.993.249;3.854.695.953;1.539.471.578;0.962079929
Quintay;15øC;1500ppm;0.0118;-5.347.837.494;-0.120;0.540;0.540;0.103;0.754;0.317;0.014;0.002;0.9341;360;0.43781;168;784.275;32.225;15.4;2.326.660.171;3.511.568.631;2.381.293.275;1.487.890.545
Quintay;10øC;500ppm;0.0083;0.171303747;-0.130;-0.250;0.050;0.048;0.282;0.075;0.0045;0.0002;1;261;0;28;8.006.666.667;3.303.333.333;10.7;2.293.016.645;2.692.673.683;288.389.231;1.805.398.039
Quintay;10øC;1500ppm;-0.0034;2.626.602.464;-0.020;-0.060;-0.370;0.140;0.658;0.462;0.0172;0.0034;0.9656;474;0.46234;197;7.651;32.575;10.6;1.983.423.193;591.424.838;113.813.882;0.711748265
Quintay;10øC;500ppm;-0.0023;-2.102.590.053;-0.100;0.010;0.200;0.391;0.710;0.732;0.0298;0.0073;0.9916;452;0.19468;84;8.006.666.667;3.303.333.333;10.7;2.317.440.282;2.721.659.999;2.915.921.179;1.825.449.015
Quintay;10øC;500ppm;-0.0051;4.833.382.741;-0.040;-1.540;0.710;0.220;0.604;0.485;0.0244;0.0049;0.9704;229;0.32922;72;7.981.833.333;3.283.333.333;10.7;2.282.237.292;2.866.835.783;2.718.234.292;1.700.914.537
Quintay;10øC;500ppm;0;-6.891.633.022;0.020;1.210;0.080;0.152;0.434;0.373;0.022;0.0055;0.969;579;0.12156;61;799.475;32.425;10.75;2.341.210.252;2.845.317.768;2.852.151.616;1.782.977.997
Quintay;10øC;1500ppm;0.0096;-1.031.613.222;0.520;1.320;0.890;0.169;0.498;0.421;0.0172;0.0033;0.9896;410;0.30797;121;7.644.875;32.7;10.8;228.069.447;6.859.616.945;130.573.925;0.816801918
Quintay;15øC;500ppm;0.0009;-1.091.160.676;0.170;0.510;0.010;0.021;0.392;0.164;0.01;0.0014;0.9749;313;0.2361;76;8.019.875;32.4;15.23;235.829.767;2.222.844.107;3.482.423.185;2.176.849.055
Quintay;15øC;1500ppm;0.0093;-14.660.799;0.080;1.200;-0.400;0.060;0.334;0.099;0.0049;0.001;0.96;564;0.1725;89;7.777.375;31.475;16;2.336.868.346;4.122.151.713;2.086.260.747;1.300.978.001
Quintay;15øC;500ppm;0.0158;-3.235.837.824;0.300;0.480;0.230;-0.037;0.730;0.471;0.0314;0.0062;0.7032;96;0.465;50;81.435;31.05;15.8;2.349.646.771;1.554.958.367;4.403.017.391;2.742.406.012
Quintay;15øC;500ppm;0.1211;-9.265.644.466;-0.920;0.340;1.030;0.289;0.426;0.263;0.0136;0.0036;0.9079;453;0.13672;60;79.425;32.375;15.2;2.282.672.244;265.649.682;2.870.471.542;1.794.210.209
