localidad;temperatura;ppm;pb_final-inicial;vol_f-i;largo_f-i;ancho_f-i;alto_f-i;pt_f-i;mdc_f;peso_seco_de_la_concha;volumen_cm;pseco_mb;p_ldc;r2;pendiente;extension_max;carga_max;ph_promedio_25C;salinidad;temperatura ;alcalinidad_total ;pCO2;calcita;aragonita;pendiente;R2;ml/g_l_h_14C;mgo2_h_g_1;lat/min;modulo_elastico;estres_max;presion_Max;r2;a;b;c;d;e;f;g
Quintay;15°C;1500ppm;-0.001;773.017;0.1;-0.45;-0.57;0.19;0.622;0.642;7.73;0.018;0.003;0.982;768.31;0.161;111.043;773.025;32.35;15.4;2.008.235.912;4.078.594.569;1.601.591.903;1.001.025.551;0.014;0.701;0.006;0.016;15.636;459.541;68.646;0.154;0.965;2.034.019;1.999.398;2.016.597;1877.14;1.965.653;1.809.092;1.744.679
Quintay;15°C;1500ppm;0;185.786;-0.09;-0.31;-0.1;0.183;0.498;0.319;1.858;0.003;0;0.973;489.29;0.188;82.716;774.225;32.85;15.5;2.314.494.556;452.264.378;1.928.318.278;120.667.708;0.014;0.892;0.006;0.032;21.9;321.114;220.251;0.709;0.992;1.165.387;1.490.707;1.558.975;1.507.348;1.343.132;1.474.341;1.301.772
Quintay;15°C;500ppm;0.005;-383.561;0.23;0.38;0.4;0.205;0.626;0.399;-3.836;0.021;0.004;0.876;225.86;0.535;149.039;8.019.875;32.4;15.23;2.351.340.861;2.216.245.718;3.471.622.465;2.170.097.568;0.023;0.879;0.01;0.042;37.092;306.132;276.06;0.91;0.99;1.463.579;1.974.009;1.690.267;1.765.762;1717.15;1.547.276;1.710.369
Quintay;15°C;1500ppm;0.02;-799.792;-0.62;0.24;0.57;0.076;0.594;0.537;-7.998;0.026;0.005;0.905;239.84;0.753;221.79;773.575;31.95;15.3;2.308.247.401;4.653.445.189;185.227.128;1.156.531.885;0.009;0.837;0.004;0.013;30.12;403.223;286.551;0.739;0.981;1.541.475;1.710.369;1.794.473;1717.15;1.758.692;1.794.473;1.310.796
Quintay;15°C;500ppm;0.024;-466.594;0.03;0.78;0.25;0.09;0.504;0.314;-4.666;0.017;0.004;0.947;581.25;0.131;68.768;81.435;31.05;15.8;2.374.753.605;157.175.235;4.452.848.914;2.773.443.425;na;na;na;na;na;343.32;198.014;0.6;0.911;1.816.469;1.737.735;1.333.772;1.737.735;1.576.775;1.535.707;1.932.756
Quintay;15°C;500ppm;0.402;25.067;-0.05;0.25;-0.26;0.101;0.578;0.427;0.251;0.012;0.002;0.974;264.92;0.133;31.611;79.425;32.375;15.2;2.260.673.149;2.630.783.773;2.841.509.585;1.776.107.316;0.025;0.92;0.012;0.1;27.444;239.191;40.859;0.179;0.985;1.683.645;1.780.031;1.632.042;1501.77;1.638.362;1.564.875;1.651.112
Quintay;15°C;1500ppm;0.029;-244.197;-0.16;0.03;0.32;0.158;0.41;0.286;-2.442;0.023;0.005;0.903;410.38;0.13;54.51;7.746.375;31.725;15.5;2.277.701.648;4.437.929.771;1.875.063.228;1.170.069.126;0.019;0.928;0.008;0.048;29.208;396.484;389.777;1.004;0.996;1.541.475;1.710.369;1.794.473;1717.15;1.758.692;1.794.473;1.310.796
Quintay;15°C;1500ppm;0.053;-36.312;-0.06;0.05;-0.01;0.069;na;na;-0.363;na;na;na;na;na;na;77.175;32.425;15.1;234.628.606;4.984.780.793;1.812.514.803;1.133.065.295;na;na;na;na;14.1;158.106;20.998;0.133;0.955;1.541.475;1.710.369;1.794.473;1717.15;1.758.692;1.794.473;1.310.796
Quintay;15°C;500ppm;-0.002;-354.979;0.27;0.5;0.11;0.302;0.676;0.667;-3.55;0.032;0.006;0.926;203.98;0.585;139.397;8.047.666.667;3.226.666.667;15.4;2.300.921.407;1.997.541.872;3.597.926.635;2.248.307.505;0.015;0.907;0.007;0.016;12.9;605.113;437.454;0.741;0.998;1.588.811;1.932.756;1.474.341;1.588.811;1.426.827;1.730.832;1.765.762
Quintay;15°C;500ppm;0.019;-569.616;-0.14;0.2;0.57;0.085;0.512;0.417;-5.696;0.011;0.003;0.947;97.259;0.416;40.661;8.010.333.333;3.273.333.333;15.1;2.312.599.614;2.243.046.257;335.068.556;2.096.177.357;0.025;0.952;0.011;0.043;35.388;255.007;33.642;0.14;0.96;1.730.832;1.541.475;1.632.042;1.638.362;1.831.358;1.670.517;1.932.756
